p	q	r	Mag Yaw
-0.00	-0.00	0.00	46.45
-0.00	-0.00	0.00	46.45
0.00	-0.00	-0.00	46.45
0.00	-0.00	-0.00	46.45
0.00	-0.00	-0.00	46.45
0.00	-0.00	-0.00	46.45
0.00	-0.00	-0.00	46.45
0.00	0.00	-0.00	48.20
0.00	0.00	-0.00	49.36
0.00	0.00	-0.00	50.13
0.00	0.00	-0.00	50.64
0.00	0.00	-0.00	50.96
0.00	-0.00	-0.00	51.18
0.00	-0.00	-0.00	51.32
0.00	-0.00	-0.00	51.41
0.00	-0.00	-0.00	51.47
0.00	-0.00	-0.00	51.51
0.00	-0.00	-0.00	51.53
-0.00	-0.00	-0.00	51.55
-0.00	0.00	-0.00	51.56
-0.00	0.00	-0.00	51.57
-0.00	0.00	-0.00	51.57
-0.00	0.00	-0.00	51.57
-0.00	-0.00	-0.00	51.58
-0.00	-0.00	-0.00	51.58
-0.00	-0.00	-0.00	51.58
-0.00	-0.00	-0.00	51.58
-0.00	-0.00	-0.00	51.58
0.00	-0.00	-0.00	51.58
0.00	-0.00	-0.00	51.58
0.00	-0.00	-0.00	51.58
0.00	0.00	-0.00	51.58
0.00	0.00	-0.00	51.58
0.00	0.00	-0.00	51.58
0.00	0.00	-0.00	51.58
0.00	0.00	-0.00	51.58
0.00	0.00	-0.00	51.58
0.00	0.00	-0.00	51.58
0.00	0.00	-0.00	51.58
-0.00	-0.00	-0.00	50.35
-0.00	-0.00	-0.00	49.54
-0.00	-0.00	-0.00	49.01
-0.00	-0.00	-0.00	48.67
-0.00	-0.00	0.00	48.44
-0.00	-0.00	0.00	48.30
-0.00	-0.00	-0.00	48.20
-0.00	-0.00	-0.00	48.14
-0.00	-0.00	-0.00	48.10
-0.00	-0.00	-0.00	48.07
-0.00	-0.00	-0.00	48.06
-0.00	-0.00	-0.00	48.05
-0.00	0.00	-0.00	48.04
-0.00	0.00	-0.00	48.03
-0.00	0.00	-0.00	48.03
-0.00	0.00	-0.00	48.03
-0.00	0.00	-0.00	48.03
-0.00	0.00	-0.00	48.03
-0.00	0.00	-0.00	48.03
-0.00	0.00	-0.00	48.03
-0.00	0.00	-0.00	48.03
-0.00	0.00	-0.00	48.03
-0.00	0.00	-0.00	48.03
-0.00	-0.00	-0.00	48.03
-0.00	-0.00	-0.00	48.03
-0.00	-0.00	-0.00	48.03
-0.00	-0.00	0.00	48.03
-0.00	-0.00	0.00	48.03
-0.00	0.00	0.00	48.03
-0.00	0.00	0.00	48.03
-0.00	0.00	0.00	48.03
-0.00	0.00	0.00	48.03
0.00	-0.00	0.00	48.20
0.00	-0.00	0.00	48.31
0.00	-0.00	-0.00	48.39
0.00	-0.00	-0.00	48.43
